annee;nom;prenom;code_categorie_iuf;categorie_iuf;code_reconduction_iuf;reconduction_iuf;code_sexe;sexe;code_section_cnu;section_cnu;code_groupe_cnu;groupe_cnu;code_secteur_cnu;secteur_disciplinaire;code_groupe_corps;groupe_de_corps;code_uai;numero_national_de_structure_de_recherche;unite_de_recherche;code_academie;academie;code_region;region;code_pres;pres;code_idex;idex;latitude;longitude;discipline_nomenclature;etablissement
1991;SALATI;PIERRE;1;Junior;0;Nouvelle candidature;1;Hommes;29;Section 29 - Constituants elementaires;6;Physique;3;Sciences;1;Professeurs et assimiles;0730858L;;;8;Grenoble;82;Rhône-Alpes;0383412C;Universite Grenoble Alpes;;Hors IDEX;45.5667761;5.9176353;Sciences>Physique>Section 29 - Constituants elementaires;Universite de Savoie
1991;MEYER;YVES;2;Senior;0;Nouvelle candidature;1;Hommes;26;Section 26 - Mathematiques appliquees et applications des mathematiques;5;Mathematiques et Informatique;3;Sciences;;;0750736T;199812864W;Centre de Mathematiques et de leurs Applications;1;Paris;11;Île-de-France;0755575C;PRES Paris Sciences et Lettres - Quartier latin;4;IDEX PSL;48.8711494;2.2752911;Sciences>Mathematiques et Informatique>Section 26 - Mathematiques appliquees et applications des mathematiques;Universite Paris-Dauphine
1991;JOANNY;JEAN-FRANCOIS;1;Junior;0;Nouvelle candidature;1;Hommes;28;Section 28 - Milieux denses et materiaux;6;Physique;3;Sciences;;;0673021V;;;15;Strasbourg;42;Alsace;;Hors PRES;8;UNISTRA;48.5800468;7.7656124;Sciences>Physique>Section 28 - Milieux denses et materiaux;Universite de Strasbourg
1991;GOURIER;DIDIER;1;Junior;0;Nouvelle candidature;1;Hommes;33;Section 33 - Chimie des materiaux;7;Chimie;3;Sciences;;;0753375L;;;1;Paris;11;Île-de-France;;Hors PRES;;Hors IDEX;48.8445394;2.344079;Sciences>Chimie>Section 33 - Chimie des materiaux;ecole nationale superieure de chimie de Paris
1991;BRECHOT;CHRISTIAN;1;Junior;0;Nouvelle candidature;1;Hommes;44;Section 44 - Biochimie, biologie cellulaire;14;Medecine;4;Sante;;;0751721N;;;1;Paris;11;Île-de-France;0755598C;Universite Sorbonne Paris Cite;7;IDEX USPC;48.8512077;2.3407847;Sante>Medecine>Section 44 - Biochimie, biologie cellulaire;Universite Paris Descartes
1991;BOURGUET;MARIE-NOELLE;1;Junior;0;Nouvelle candidature;2;Femmes;22;"Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";4;Sciences humaines;2;Lettres et sciences humaines;;;0751723R;199213067T;Identites, Cultures, Territoires;1;Paris;11;Île-de-France;0755598C;Universite Sorbonne Paris Cite;7;IDEX USPC;48.8303058;2.3813579;"Lettres et sciences humaines>Sciences humaines>Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";Universite Paris Diderot
1992;FOUGEREAU;MICHEL;2;Senior;0;Nouvelle candidature;1;Hommes;65;Section 65 - Biologie cellulaire;10;Biologie et Biochimie;3;Sciences;;;0134009M;;;2;Aix-Marseille;93;Provence-Alpes-Côte d'Azur;;Hors PRES;1;IDEX AMIDEX;43.2920605;5.3590128;Sciences>Biologie et Biochimie>Section 65 - Biologie cellulaire;Aix-Marseille universite
1993;NICOLAS;ADOLPHE;2;Senior;0;Nouvelle candidature;1;Hommes;35;Section 35 - Structure et evolution de la Terre et des autres planètes;8;Sciences de la terre;3;Sciences;;;0342321N;;;11;Montpellier;91;Languedoc-Roussillon;;Hors PRES;;Hors IDEX;43.598480227;3.8968741573;Sciences>Sciences de la terre>Section 35 - Structure et evolution de la Terre et des autres planètes;Universite de Montpellier
1993;LETOUBLON;FRANCOISE;2;Senior;0;Nouvelle candidature;2;Femmes;8;Section 8 - Langues et litteratures anciennes;3;Langues et Litteratures;2;Lettres et sciences humaines;;;0383493R;;;8;Grenoble;82;Rhône-Alpes;;Hors PRES;;Hors IDEX;45.1918;5.76726;Lettres et sciences humaines>Langues et Litteratures>Section 8 - Langues et litteratures anciennes;Universite de Grenoble Alpes
1993;GAMBONI;DARIO;1;Junior;0;Nouvelle candidature;1;Hommes;22;"Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";4;Sciences humaines;2;Lettres et sciences humaines;1;Professeurs et assimiles;0691775E;;;10;Lyon;82;Rhône-Alpes;0694094A;Universite de Lyon;;Hors IDEX;45.7495517;4.8374255;"Lettres et sciences humaines>Sciences humaines>Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";Universite Lumière - Lyon 2
